 1:187.381 2:206.936 3:202.062 4:187.381 5:213.204 6:213.576 #1182
 1:176.856 2:200.301 3:195.26 4:176.856 5:216.312 6:217.528 #1188
 1:182.65 2:204.563 3:199.272 4:182.65 5:222.539 6:226.003 #1194
 1:176.902 2:202.828 3:197.255 4:176.902 5:210.747 6:215.429 #1200
 1:162.25 2:172.957 3:170.182 4:162.25 5:221.646 6:225.461 #1206
 1:186.215 2:217.949 3:208.103 4:186.215 5:209.905 6:212.293 #1212
 1:219.559 2:231.541 3:229.024 4:219.559 5:236.282 6:238.545 #1218
 1:249.845 2:249.159 3:250.587 4:249.845 5:232.232 6:234.633 #1224
 1:252.479 2:253.127 3:253.615 4:252.479 5:213.182 6:211.2 #1230
 1:231.041 2:228.976 3:229.746 4:231.041 5:202.289 6:204.256 #1236
 1:254.2 2:253.507 3:253.981 4:254.2 5:214.886 6:216.884 #1242
 1:228.756 2:226.13 3:226.99 4:228.756 5:235.551 6:236.12 #1248
 1:252.856 2:250.592 3:250.717 4:252.856 5:220.554 6:220.126 #1254
 1:253.523 2:252.352 3:252.306 4:253.523 5:215.188 6:212.143 #1260
 1:229.428 2:226.416 3:226.406 4:229.428 5:195.147 6:192.649 #1266
 1:246.78 2:238.785 3:238.033 4:246.78 5:203.612 6:202.782 #1272
 1:228.159 2:224.421 3:225.389 4:228.159 5:223.751 6:220.636 #1278
 1:251.788 2:252.281 3:252.557 4:251.788 5:209.313 6:206.705 #1284
 1:251.713 2:252.399 3:252.824 4:251.713 5:199.466 6:193.374 #1290
 1:235.323 2:233.145 3:234.065 4:235.323 5:204.612 6:196.541 #1296
 1:252.694 2:251.273 3:252.023 4:252.694 5:205.755 6:200.972 #1302
 1:236.562 2:234.162 3:235.687 4:236.562 5:208.733 6:202.825 #1308
 1:252.343 2:252.339 3:252.999 4:252.343 5:201.47 6:196.674 #1314
 1:248.764 2:251.672 3:252.17 4:248.764 5:191.219 6:187.513 #1320
 1:235.092 2:237.366 3:238.268 4:235.092 5:186.631 6:183.951 #1326
 1:249.322 2:253.676 3:253.984 4:249.322 5:189.463 6:188.562 #1332
 1:228.185 2:230.938 3:232.531 4:228.185 5:192.869 6:187.875 #1338
 1:250.181 2:252.448 3:253.326 4:250.181 5:199.246 6:197.646 #1344
 1:248.955 2:251.756 3:252.858 4:248.955 5:182.876 6:180.347 #1350
 1:224.811 2:222.191 3:223.702 4:224.811 5:185.539 6:184.766 #1356
 1:251.478 2:254.124 3:254.45 4:251.478 5:187.072 6:187.575 #1362
 1:209.872 2:209.847 3:212.254 4:209.872 5:177.862 6:178.977 #1368
 1:249.577 2:253.335 3:253.533 4:249.577 5:215.705 6:211.796 #1374
 1:227.159 2:236.199 3:239.91 4:227.159 5:218.449 6:219.922 #1380
 1:223.665 2:227.125 3:235.021 4:223.665 5:215.057 6:213.127 #1386
 1:250.152 2:252.054 3:253.646 4:250.152 5:228.779 6:227.92 #1392
 1:214.366 2:213.097 3:216.277 4:214.366 5:232.512 6:234.028 #1398
 1:251.603 2:250.237 3:252.497 4:251.603 5:235.334 6:231.771 #1404
 1:251.589 2:250.363 3:252.718 4:251.589 5:233.408 6:231.63 #1410
 1:247.16 2:246.932 3:249.303 4:247.16 5:227.207 6:224.276 #1416
 1:249.541 2:249.056 3:252.181 4:249.541 5:220.75 6:220.28 #1422
 1:240.184 2:241.408 3:244.365 4:240.184 5:215.542 6:217.16 #1428
 1:246.23 2:248.076 3:250.212 4:246.23 5:217.108 6:218.97 #1434
 1:248.697 2:254.632 3:254.734 4:248.697 5:209.935 6:211.5 #1440
 1:241.828 2:251.813 3:252.8 4:241.828 5:227.84 6:228.279 #1446
 1:245.784 2:254.031 3:254.361 4:245.784 5:240.166 6:242.814 #1452
 1:220.773 2:233.025 3:235.977 4:220.773 5:245.086 6:249.818 #1458
 1:234.695 2:249.451 3:251.818 4:234.695 5:242.419 6:246.366 #1464
 1:225.307 2:243.362 3:246.266 4:225.307 5:230.395 6:235.023 #1470
 1:210.926 2:225.81 3:229.444 4:210.926 5:234.189 6:239.002 #1476
 1:225.752 2:232.53 3:235.879 4:225.752 5:223.314 6:227.665 #1482
 1:212.694 2:228.583 3:230.973 4:212.694 5:229.313 6:232.948 #1488
 1:225.086 2:234.698 3:238.261 4:225.086 5:232.931 6:236.028 #1494
 1:223.378 2:236.007 3:237.415 4:223.378 5:231.754 6:234.18 #1500
 1:214.196 2:225.17 3:226 4:214.196 5:225.453 6:228.412 #1506
 1:232.018 2:239.742 3:240.733 4:232.018 5:228.112 6:229.831 #1512
 1:221.727 2:232.393 3:231.891 4:221.727 5:230.688 6:232.121 #1518
 1:228.427 2:239.673 3:239.451 4:228.427 5:228.579 6:229.541 #1524
 1:225.293 2:237.777 3:235.99 4:225.293 5:236.869 6:236.401 #1530
 1:206.868 2:218.639 3:215.973 4:206.868 5:225.263 6:225.511 #1536
 1:229.536 2:237.377 3:236.923 4:229.536 5:221.086 6:221.788 #1542
 1:206.431 2:214.99 3:211.172 4:206.431 5:228.83 6:229.37 #1548
 1:215.779 2:232.268 3:227.897 4:215.779 5:221.439 6:221.746 #1554
 1:206.136 2:232.238 3:227.577 4:206.136 5:209.676 6:205.478 #1560
 1:193.466 2:198.638 3:189.904 4:193.466 5:200.03 6:198.375 #1566
 1:188.167 2:194.939 3:184.332 4:188.167 5:144.393 6:133.14 #1572
 1:210.965 2:206.587 3:201.77 4:210.965 5:166.977 6:148.162 #1578
 1:208.181 2:209.852 3:206.201 4:208.181 5:146.088 6:141.092 #1584
 1:232.165 2:235.186 3:231.968 4:232.165 5:128.678 6:131.343 #1590
 1:234.918 2:233.301 3:231.37 4:234.918 5:131.501 6:141.968 #1596
 1:243.31 2:237.991 3:235.196 4:243.31 5:148.281 6:163.538 #1602
 1:236.328 2:228.124 3:225.6 4:236.328 5:163.235 6:182.671 #1608
 1:249.27 2:241.29 3:238.665 4:249.27 5:178.091 6:203.963 #1614
 1:249.711 2:242.965 3:240.103 4:249.711 5:178.934 6:204.127 #1620
 1:250.235 2:246.162 3:245.32 4:250.235 5:173.012 6:200.883 #1626
 1:246.328 2:238.799 3:237.393 4:246.328 5:174.481 6:194.847 #1632
 1:250.25 2:246.546 3:245.506 4:250.25 5:167.601 6:197.707 #1638
 1:249.038 2:242.934 3:241.658 4:249.038 5:186.193 6:216.377 #1644
 1:247.557 2:244.055 3:243.41 4:247.557 5:193.088 6:228.876 #1650
 1:242.411 2:242.028 3:242.575 4:242.411 5:192.271 6:228.608 #1656
 1:238.392 2:237.066 3:237.72 4:238.392 5:169.681 6:203.412 #1662
 1:240.56 2:240.161 3:240.793 4:240.56 5:178.448 6:214.253 #1668
 1:244.083 2:243.715 3:244.102 4:244.083 5:164.734 6:201.364 #1674
 1:245.786 2:248.798 3:249.284 4:245.786 5:166.279 6:205.73 #1680
 1:241.936 2:245.974 3:246.976 4:241.936 5:169.515 6:206.72 #1686
 1:243.786 2:247.17 3:247.915 4:243.786 5:179.101 6:210.5 #1692
 1:234.418 2:240.789 3:241.929 4:234.418 5:166.66 6:199.829 #1698
 1:239.336 2:243.46 3:243.283 4:239.336 5:174.899 6:204.427 #1704
 1:241.352 2:250.799 3:251.318 4:241.352 5:169.778 6:193.192 #1710
 1:237.68 2:244.455 3:245.033 4:237.68 5:156.361 6:183.385 #1716
 1:234.594 2:241.214 3:241.414 4:234.594 5:162.063 6:187.969 #1722
 1:238.622 2:243.63 3:244.071 4:238.622 5:165.737 6:190.025 #1728
 1:241.106 2:242.301 3:242.581 4:241.106 5:175.514 6:204.199 #1734
 1:240.691 2:241.626 3:240.737 4:240.691 5:179.221 6:205.272 #1740
 1:229.108 2:229.98 3:228.937 4:229.108 5:157.05 6:186.268 #1746
 1:237.917 2:234.662 3:231.907 4:237.917 5:152.479 6:183.308 #1752
 1:238.421 2:235.222 3:233.14 4:238.421 5:174.243 6:206.995 #1758
 1:243.396 2:241.061 3:238.729 4:243.396 5:191.98 6:224.368 #1764
 1:242.274 2:240.782 3:238.536 4:242.274 5:180.622 6:216.303 #1770
 1:219.853 2:215.117 3:213.749 4:219.853 5:182.039 6:215.951 #1776
 1:240.033 2:236.837 3:234.8 4:240.033 5:182.23 6:212.754 #1782
 1:228.568 2:225.728 3:225.188 4:228.568 5:178.663 6:210.488 #1788
 1:242.712 2:240.517 3:238.714 4:242.712 5:201.269 6:230.477 #1794
 1:239.904 2:239.231 3:237.278 4:239.904 5:198.019 6:231.304 #1800
 1:214.841 2:209.929 3:207.982 4:214.841 5:191.576 6:219.674 #1806
 1:238.23 2:234.34 3:231.504 4:238.23 5:193.251 6:214.86 #1812
 1:229.691 2:227.217 3:226.112 4:229.691 5:205.681 6:231.243 #1818
 1:236.743 2:236.186 3:234.869 4:236.743 5:205.713 6:230.189 #1824
 1:237.857 2:238.377 3:237.038 4:237.857 5:188.573 6:219.008 #1830
 1:216.997 2:212.636 3:210.905 4:216.997 5:202.511 6:223.678 #1836
 1:233.636 2:232.505 3:230.377 4:233.636 5:199.894 6:215.385 #1842
 1:222.742 2:221.477 3:219.957 4:222.742 5:199.859 6:220.659 #1848
 1:237.906 2:237.066 3:235.279 4:237.906 5:192.253 6:213.607 #1854
 1:234.056 2:233.058 3:229.861 4:234.056 5:202.75 6:217.321 #1860
 1:208.071 2:204.285 3:202 4:208.071 5:192.324 6:210.623 #1866
 1:233.751 2:228.778 3:225.153 4:233.751 5:163.629 6:184.639 #1872
 1:237.374 2:233.467 3:230.411 4:237.374 5:188.038 6:206.371 #1878
 1:243.591 2:241.758 3:238.236 4:243.591 5:185.216 6:206.861 #1884
 1:237.734 2:233.524 3:229.176 4:237.734 5:176.229 6:200.207 #1890
 1:216.942 2:208.268 3:204.878 4:216.942 5:173.218 6:199.818 #1896
