? 1:517.777 2:121689 3:235.727 #327
? 1:599.531 2:12628.5 3:169.481 #328
? 1:982.103 2:177441 3:156.531 #329
? 1:649716 2:41071.1 3:177.267 #330
? 1:130564000 2:122532 3:284.975 #331
? 1:87413.1 2:43833.6 3:216.387 #332
? 1:1746.92 2:24801.1 3:169.965 #333
? 1:899.709 2:254934 3:178.485 #334
? 1:1350.65 2:260253 3:295.657 #335
? 1:893.601 2:521327 3:256.457 #336
? 1:459.566 2:27488.4 3:182.706 #337
? 1:423.394 2:10485000 3:144.101 #338
? 1:596.367 2:507194 3:140.462 #339
? 1:4354.16 2:510557 3:204.034 #340
? 1:15734.9 2:105966000 3:307.824 #341
? 1:1733.38 2:147043 3:229.517 #342
? 1:618.969 2:200323 3:177.055 #343
? 1:736.483 2:337822 3:168.562 #344
? 1:1653.44 2:79750.9 3:296.439 #345
? 1:699.16 2:146960 3:288.8 #346
? 1:481.17 2:104862000 3:376.152 #347
? 1:512.685 2:53020.2 3:201.439 #348
? 1:1267.74 2:350125 3:185.686 #349
? 1:61166.3 2:212245 3:201.885 #350
? 1:3039.32 2:23629.6 3:187.43 #351
? 1:978.763 2:15490.7 3:154.607 #352
? 1:437.091 2:37776.4 3:160.903 #353
? 1:419.805 2:183762 3:188.22 #354
? 1:733.292 2:376030 3:255.838 #355
? 1:530.055 2:61799.8 3:181.42 #356
? 1:537.639 2:559672 3:149.86 #357
? 1:1324.94 2:91501.3 3:130.923 #358
? 1:5531.86 2:182009 3:146.822 #359
? 1:129096000 2:111918000 3:128.656 #360
? 1:129656000 2:548194 3:113.961 #361
? 1:8811.37 2:10352000 3:106.299 #362
? 1:2995.68 2:258043 3:101.257 #363
? 1:3733.59 2:111764000 3:98.5841 #364
? 1:3148.52 2:388249 3:95.8519 #365
? 1:1586.99 2:113793000 3:95.7766 #366
? 1:1494.91 2:11076000 3:95.4283 #367
? 1:21747 2:59457.1 3:96.5762 #368
? 1:123121000 2:53349.8 3:95.1239 #369
? 1:122932000 2:69270.8 3:94.2489 #370
? 1:125078000 2:11143.9 3:96.1594 #371
? 1:125482000 2:41456.8 3:93.6577 #372
? 1:649218 2:155132 3:93.9469 #373
? 1:205661 2:51614.8 3:93.3208 #374
? 1:7310.95 2:212928 3:90.7962 #375
? 1:779.773 2:594411 3:93.1826 #376
? 1:576.58 2:593137 3:90.0999 #377
? 1:1169.11 2:602386 3:86.9521 #378
? 1:59320.5 2:111806000 3:86.4436 #379
? 1:129932000 2:11836000 3:90.2576 #380
? 1:13192000 2:114618000 3:93.1388 #381
? 1:132204000 2:10646000 3:90.7892 #382
? 1:127466000 2:111305000 3:90.2751 #383
? 1:125367000 2:110567000 3:93.6363 #384
? 1:119938000 2:111307000 3:91.6668 #385
? 1:703412 2:124278000 3:101.044 #386
? 1:21501 2:11432000 3:120.589 #387
? 1:163427 2:113402 3:170.643 #388
? 1:118737000 2:328406 3:123.006 #389
? 1:121285000 2:164385 3:96.0869 #390
? 1:117392000 2:77220 3:100.314 #391
? 1:104971000 2:375.36 3:102.131 #392
? 1:44100.7 2:254.597 3:101.704 #393
? 1:78903.2 2:457.337 3:99.8916 #394
? 1:33190.9 2:245.098 3:100.825 #395
? 1:38196.5 2:228.073 3:102.619 #396
? 1:19589.7 2:177.961 3:102.727 #397
? 1:14429.1 2:196.421 3:98.791 #398
? 1:14386.5 2:167.27 3:97.6431 #399
? 1:9486.57 2:188.28 3:97.7509 #400
? 1:40660.5 2:147.883 3:94.0931 #401
? 1:426783 2:112.367 3:91.1346 #402
? 1:157127000 2:116.649 3:90.3654 #403
? 1:149592000 2:163.06 3:90.7719 #404
? 1:128058 2:123.483 3:91.3288 #405
? 1:29692.5 2:209.115 3:90.4506 #406
? 1:18267.4 2:196.065 3:91.3289 #407
? 1:26168.6 2:268.1 3:90.7013 #408
? 1:10216.8 2:288.482 3:89.0718 #409
? 1:403276 2:705.29 3:89.2485 #410
? 1:155396 2:691.442 3:87.8525 #411
? 1:1416.86 2:323.202 3:87.2137 #412
? 1:1076.93 2:831.232 3:87.1618 #413
? 1:1142.75 2:1220.85 3:87.448 #414
? 1:212.341 2:512.879 3:88.6664 #415
? 1:212.418 2:695.305 3:89.297 #416
? 1:164.466 2:332.532 3:90.5474 #417
? 1:180.004 2:381.749 3:90.1916 #418
? 1:267.11 2:316.144 3:88.3084 #419
? 1:199.324 2:297.029 3:87.7784 #420
? 1:216.541 2:333.796 3:88.5325 #421
? 1:172.813 2:164.43 3:85.3892 #422
? 1:282.624 2:472.915 3:85.696 #423
? 1:149.407 2:394.745 3:84.3502 #424
? 1:117.814 2:186.125 3:86.9593 #425
? 1:132.143 2:219.166 3:89.4863 #426
? 1:114.175 2:127.875 3:92.1066 #427
? 1:120.802 2:122.917 3:92.4632 #428
? 1:113.273 2:108.328 3:92.8435 #429
? 1:108.257 2:108.143 3:92.4201 #430
? 1:106.75 2:102.063 3:91.7413 #431
? 1:105.775 2:100.831 3:90.7754 #432
? 1:107.457 2:105.193 3:91.2367 #433
? 1:108.794 2:115.406 3:93.5051 #434
? 1:110.104 2:134.236 3:97.477 #435
? 1:111.882 2:389.777 3:98.8824 #436
? 1:111.341 2:459.27 3:102.235 #437
? 1:112.657 2:435.777 3:100.414 #438
? 1:110.608 2:349.316 3:100.195 #439
? 1:109.545 2:286.531 3:100.684 #440
? 1:108.938 2:249.746 3:97.9071 #441
? 1:106.786 2:157.802 3:94.5757 #442
? 1:106.912 2:223.838 3:93.4833 #443
? 1:106.667 2:507.432 3:91.6805 #444
? 1:105.087 2:883.511 3:91.7389 #445
? 1:106.254 2:1491.53 3:93.1659 #446
? 1:104.164 2:793.602 3:92.7315 #447
? 1:105.253 2:423.475 3:90.8106 #448
? 1:104.782 2:542.925 3:89.8111 #449
? 1:103.968 2:799.489 3:89.8441 #450
? 1:102.208 2:519.718 3:90.4718 #451
? 1:102.126 2:340.883 3:90.7097 #452
? 1:102.216 2:935.153 3:88.4718 #453
? 1:101.389 2:3389.89 3:84.2053 #454
? 1:100.964 2:965.57 3:91.5958 #455
? 1:101.447 2:1477.81 3:100.396 #456
? 1:100.662 2:1279.04 3:104.075 #457
? 1:99.041 2:943.35 3:102.286 #458
? 1:98.4601 2:1457.93 3:101.559 #459
? 1:98.6882 2:1377.98 3:103.745 #460
? 1:99.296 2:1076.5 3:103.742 #461
? 1:98.6359 2:1070.12 3:102.51 #462
? 1:99.0417 2:10588 3:102.022 #463
? 1:99.9312 2:107287 3:101.483 #464
? 1:99.6941 2:3148.72 3:104.679 #465
? 1:101.263 2:6715.78 3:106.526 #466
? 1:100.868 2:2132.74 3:107.248 #467
? 1:101.627 2:2116.4 3:108.508 #468
? 1:101.135 2:3177.97 3:105.681 #469
? 1:103.546 2:781.809 3:106.539 #470
? 1:104.984 2:489.58 3:107.62 #471
? 1:105.9 2:461.55 3:108.117 #472
? 1:104.874 2:44514.9 3:101.054 #473
? 1:98.6243 2:22773.4 3:100.323 #474
? 1:102.349 2:3757.27 3:106.164 #475
? 1:100.831 2:11964 3:106.909 #476
? 1:99.7894 2:2450.41 3:104.387 #477
? 1:99.6584 2:3187.18 3:105.315 #478
? 1:99.1799 2:11922.9 3:104.934 #479
? 1:99.7471 2:6508.66 3:104.506 #480
? 1:98.5393 2:4266.65 3:103.02 #481
? 1:97.0231 2:4151.98 3:102.528 #482
? 1:97.4331 2:27258.5 3:103.137 #483
? 1:98.1624 2:102867 3:102.918 #484
? 1:94.5804 2:19089 3:101.483 #485
? 1:94.0645 2:14454.2 3:99.1454 #486
? 1:92.0189 2:30594 3:93.0154 #487
? 1:92.1535 2:41153.1 3:94.5528 #488
? 1:90.7711 2:13949.4 3:93.5223 #489
? 1:89.1159 2:27482.2 3:92.3275 #490
? 1:137.752 2:41093.6 3:107.436 #491
? 1:148.855 2:567345 3:134.526 #492
? 1:152.946 2:115778000 3:237.858 #493
? 1:135.456 2:190500 3:394.143 #494
? 1:107.225 2:36070 3:713.553 #495
? 1:115.324 2:12372.6 3:1032.1 #496
? 1:181.557 2:114404000 3:581.39 #497
? 1:918.189 2:115955000 3:682.307 #498
? 1:3978.25 2:1163000 3:469.932 #499
? 1:410.745 2:32800.6 3:319.214 #500
? 1:376.654 2:20632.5 3:342.291 #501
? 1:197.575 2:18898.1 3:176.645 #502
? 1:236.69 2:118593000 3:127.668 #503
? 1:369.222 2:119626000 3:106.643 #504
? 1:143.782 2:120555000 3:116.779 #505
